Series Name,Series Code,Time,Time Code,United States [USA],Japan [JPN],Germany [DEU],United Kingdom [GBR],France [FRA]
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2000,YR2000,33.2676418736523,98.9338230693531,42.2408716555481,87.6020211637135,58.2992523257033
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2001,YR2001,52.4436801645522,102.846758013061,40.2535281283659,84.3648435829985,57.8188792094656
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2002,YR2002,53.8625384615103,111.876249693267,41.8376157807581,86.4006466130452,61.1765498677754
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2003,YR2003,56.2503655146228,121.915320879915,42.9838530998341,86.6935169835672,63.6735542410279
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2004,YR2004,56.6622734054524,127.547629783025,44.0854003500522,90.5116823436816,64.6424130247374
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2005,YR2005,56.5388574158363,128.207492888471,45.8555440477907,92.1589220081659,65.6111738740193
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2006,YR2006,55.46735161303,128.599667918729,44.0910158149831,92.1646044463526,60.9742926849592
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2007,YR2007,55.6599218970435,132.222046474041,41.571482866916,93.8022331460401,59.4874211892694
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2008,YR2008,63.8151121520296,138.574274218025,44.5214000447675,105.40656375502,65.372569489756
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2009,YR2009,75.8420374764117,156.984485342014,48.4872410282411,123.728339710305,77.9477820433769
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2010,YR2010,84.9643739761343,160.498098433606,56.631687724224,131.087878360241,80.3012997114704
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2011,YR2011,89.5467947782693,175.567641219028,55.6957706529648,143.759014549588,82.2922420615546
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2012,YR2012,93.6492746079881,183.706209324867,57.1109637891531,147.053681621506,90.2797486025496
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2013,YR2013,95.3225056118879,186.564297348971,54.2618315044374,141.643327770171,90.9685436680429
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2014,YR2014,95.454198507531,192.112850344345,54.6997537088846,150.591619713999,97.5543838512582
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2015,YR2015,95.9561452218224,194.584061217143,51.5931967034347,147.949412742616,97.9803332557022
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2016,YR2016,97.9289348480368,193.23043783523,49.9010763253093,156.604465153177,102.262044850588
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2017,YR2017,97.021634906855,193.489159658852,47.8698319029371,161.27006139789,102.21526508744
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2018,YR2018,98.4497724592085,197.335609410989,46.0028228022998,158.163066183959,101.622134416787
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2019,YR2019,100.119044327749,198.010309174872,44.6508602203154,160.322186863367,104.961161125435
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2020,YR2020,124.733177163573,215.755540579043,55.0711131611497,196.612393360605,123.172171235879
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2021,YR2021,118.88850192661,216.329364856741,54.4796472653388,186.852118512538,116.886773525469
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2022,YR2022,110.385331665016,216.213375459903,44.5288265352184,142.283042050199,98.6605241499728
